qId,Job,metadata,Edu_essential,Edu_optional,AgeMin,AgeMax,City,Competence_essential0,Competence_essential1,Competence_essential2,Competence_essential3,Competence_optional0,Competence_optional1,Competence_optional2,Knowledge_essential0,Knowledge_essential1,Knowledge_essential2,Knowledge_essential3,Knowledge_optional0,Knowledge_optional1,Knowledge_optional2,Language_essential0,Language_essential1,Language_optional0,Language_level0,Language_level1,Language_level2,Experience_essential,Experience_optional
0,financial controller,{'group': '2411'},Master-D.,-,26,39,Marcaria,exert expenditure controls,evaluate budgets,-,-,-,-,-,tax legislation,financial department processes,-,-,use of data in performance of work,insolvency regulations,-,Italian,-,Romanian,Any,-,Any,-,False
1,agricultural equipment design engineer,{'group': '2144'},Master-D.,-,29,48,Corigliano Calabro,use CAD software,perform scientific research,adjust engineering designs,-,use CAM software,plan manufacturing processes,operate agricultural machinery,mechanics,manufacturing processes,engineering principles,e-agriculture,CAE software,-,-,Italian,English,-,C1,Any,-,1,True
2,marine engineer,{'group': '2144'},Master-D.,-,28,34,Marino,perform scientific research,execute analytical mathematical calculations,ensure vessel compliance with regulations,approve engineering design,-,-,-,mechanics,engineering processes,-,-,information extraction,"guidance, navigation and control",control engineering,Italian,English,Spanish,Any,Any,Any,2,False
3,dismantling engineer,{'group': '2149'},Bachelor-D.,-,23,42,Cosenza,instruct on safety measures,develop design plans,-,-,review construction projects,oversee construction project,-,safety engineering,design principles,blueprints,-,-,-,-,Spanish,Albanian,English,B1,B2,Any,1,True
4,audio describer,{'group': '2656'},Degree,Bachelor-D.,18,36,Torino,study media sources,integrate content into output media,cooperate with colleagues,-,plan audiovisual recording,adapt voice register to the audio material,-,types of media,audiovisual equipment,-,-,-,-,-,Spanish,Chinese,English,Any,Any,Any,-,False
5,numerical tool and process control programmer,{'group': '2514'},Degree,Bachelor-D.,18,28,Castellammare del Golfo,troubleshoot,ensure equipment availability,-,-,use technical documentation,use computer-aided engineering systems,tend lathe,Common Lisp,ASP.NET,-,-,mathematics,manufacturing processes,engineering processes,Italian,-,-,B1,-,-,1,False
6,filament winding operator,{'group': '8142'},Less-than-degree,-,21,34,Nonantola,problem solve,vary temperature,consider technological support mechanisms,-,summarise flawed production hardwares,complete system testing procedures,maintain equipment,types of fibre for polymer reinforcement,quality standards,coating substances,-,manufacturing of daily-use goods,-,-,German,-,Italian,Any,-,Any,1,True
7,proofreader,{'group': '4413'},Degree,-,22,35,Viggianello,use dictionaries,proofread text,apply grammar and spelling rules,-,review unpublished articles,consult with editor,-,spelling,grammar,copyright legislation,-,typography,proofing methods,-,Spanish,Italian,-,B1,Any,-,2,False
8,mergers and acquisitions analyst,{'group': '2413'},Bachelor-D.,-,26,35,Afragola,manage contracts,apply technical communication skills,analyse financial risk,-,handle mergers and acquisitions,analyse economic trends,-,modern portfolio theory,mergers and acquisitions,actuarial science,-,holding company activities,financial statements,business valuation techniques,French,-,-,Any,-,-,1,True
9,optical technician,{'group': '3254'},Master-D.,PhD,28,45,L'Aquila,operate optical measuring equipment,operate optical equipment,maintain records of clients' prescriptions,-,-,-,-,production processes,optical glass characteristics,characteristics of services,characteristics of products,manufacturing processes,eye protection regulations,-,Italian,-,German,B2,-,Any,3,False
10,aerospace engineering technician,{'group': '3115'},Master-D.,PhD,29,35,Formello,read engineering drawings,liaise with engineers,execute analytical mathematical calculations,adjust engineering designs,manage supplies,guarantee customer satisfaction,-,physics,engineering processes,-,-,stealth technology,"guidance, navigation and control",defense system,Spanish,Italian,-,A1,Any,-,3,False
11,industrial arts vocational teacher,{'group': '2320'},Master-D.,-,24,32,Brindisi,observe student's progress,maintain students' discipline,give constructive feedback,-,-,-,-,teamwork principles,learning difficulties,curriculum objectives,-,types of metal,-,-,German,-,English,B2,-,Any,2,True
12,sign language teacher,{'group': '2353'},Degree,Bachelor-D.,21,34,Ballabio,give constructive feedback,demonstrate when teaching,-,-,work with virtual learning environments,provide specialised instruction for special needs students,maintain students' discipline,special needs learning equipment,sign language,-,-,-,-,-,Spanish,-,-,Any,-,-,1,False
13,toilet attendant,{'group': '9112'},Less-than-degree,Degree,19,24,Gravedona ed Uniti,restock toilet facilities' supplies,maintain inventory of cleaning supplies,clean glass surfaces,-,-,-,-,personal protective equipment,cleaning industry health and safety measures,-,-,-,-,-,English,-,Chinese,Any,-,Any,-,False
14,deck officer,{'group': '3152'},Degree,-,21,29,Latina,supervise unloading of cargo,ensure smooth on board operations,-,-,communicate with customers,-,-,vessel safety equipment,maritime transportation technology,celestial navigation,-,-,-,-,English,Bengali,-,Any,C2,-,1,True
15,legal administrative assistant,{'group': '3342'},Degree,-,22,29,Vadena,perform office routine activities,perform clerical duties,observe confidentiality,communicate by telephone,brief court officials,-,-,procedural law,legal department processes,-,-,legal research,legal case management,civil process order,French,-,-,B2,-,-,-,False
