Id,Job,Education,SmartWork,Experience_abroad,Nationality,City,Skills,Softkills,Age,Experience,Offered_Salary,Language
0,Manager,Master D.,False,True,Cinese,Baceno,"Market expertise, Team Management, Strategic planning, Negotiation","Adaptability, Empathy, Effective communication, Innovation",30-33,3,115814,Cinese
1,Risk expert,Researcher,False,False,Italiano,Salo',"Financial risk, Environmental risk, Management of the crisis, Assessment of risk","Decision making, Analytical thinking, Management of stress",30-46,8,46967,Italiano
2,Data Scientist,Degree,True,True,Statunitense,Caltignaga,"R, Statistical, Machine Learning","Innovation, Solving the problems, Teamwork, effective communication",25-25,0,22737,"Statunitense, Italiano"
3,Computer security analyst,Master D.,True,False,Inglese,Ittiri,"Cyber Security, SELinux, Keepass, Analysis of vulnerabilities","Collaboration, Troubleshooting, Innovation",26-27,0,84383,"Inglese, Israeliano"
4,Marketing manager,Degree,True,True,Italiano,Siliqua,"CMS, Hootsuite, Planning of campaigns, Market research","Management of the team, Creativity, Ability to adapt to new technologies",28-31,1,117059,"Italiano, Tedesco, Pakistano"
5,Legal consultant,Bachelor D.,False,False,Argentino,Nurallao,"Criminal Law, Negotiation, Right to Work, Procedural right","Integrity, Capacity for research, Ethics, Negotiation, Customer orientation",28-45,13,40194,Argentino
6,Architect,Researcher,False,True,Cubano,Santa Lucia di Serino,"Architectural design, Rhinoceros 3D, AutoCAD, BIM","Attention to detail, Collaboration, Effective communication",30-31,1,31831,"Cubano, Turco, Tedesco"
7,Teacher,Degree,False,True,Tedesco,Pederobba,"Italian, Sciences, Physical education, Mathematics, French","Communication, Patience, Empathy",25-44,9,23000,Tedesco
8,Computer security analyst,PhD,True,True,Cinese,Castellazzo Bormida,"Cryptography, Security of the networks, Incident Management, Keepass","Troubleshooting, Adaptability, Critical thinking",27-30,3,60090,"Cinese, Tedesco"
9,Developer,Bachelor D.,True,True,Italiano,Monserrato,"Git, C++","Collaboration, Retail aptitude",22-35,4,47667,"Italiano, Cinese, Lituano"
10,Therapist,Bachelor D.,False,True,Portoghese,Corvara,"Psychopharmacology, Psychological evaluation, Confidentiality","Problem solving, Confidentiality, Empathy, Active listening",28-47,9,27768,"Portoghese, Finlandese, Italiano"
11,Risk expert,Bachelor D.,False,False,Inglese,Alonte,"Data analysis, Financial risk","Decision making, Management of stress, Analytical thinking",28-40,2,37647,Inglese
12,Legal consultant,Bachelor D.,False,True,Egiziano,Atina,"Intellectual property, Negotiation, Right to Work, Criminal Law, Contracts","Customer orientation, Integrity, Ethics",28-37,6,37349,"Egiziano, Inglese"
13,Data Scientist,Bachelor D.,True,False,Egiziano,Tarzo,"Machine Learning, R, Scikit-learn, Python, Statistical","Innovation, effective communication, Teamwork, Analytical thinking",25-45,1,29152,Egiziano
14,HR Consultant,Degree,False,False,Argentino,Pastena,"Industrial relations, Recruitment, HR Management, Organisational development, Training and development","Management of stress, Negotiation, Management of the conflict",25-26,0,46055,"Argentino, Italiano"
15,Pharmacist,Bachelor D.,False,True,Portoghese,Signa,"Management of the cash, Dispensing of drugs, Information on drugs, Preparation of drugs","Knowledge of regulations, Precision, Attention to the customer, Organizational skills, Empathy",25-27,2,23127,Portoghese
16,Market analyst,Degree,False,False,Tedesco,Carre',"Strategies of the market, Analysis of trends, Market research, Forecast, Analysis of competitors","Teamwork, Critical thinking, Customer orientation",25-45,4,30933,"Tedesco, Italiano"
17,Asset manager,Master D.,False,False,Tedesco,Dorio,"Investments, Investments, Financial analysis, Management of the portfolio","Negotiation, Strategic Thinking",30-55,11,57720,"Tedesco, Russo, Russo"
18,Pharmacist,Researcher,False,False,Tedesco,Giffoni Sei Casali,"Dispensing of drugs, Management of the cash, Information on drugs, Preparation of drugs","Communication, Knowledge of regulations, Organizational skills, Precision",30-49,2,24745,"Tedesco, Venezuelano, Italiano"
19,Computer security analyst,PhD,True,True,Cubano,Chianciano Terme,"Cryptography, Analysis of vulnerabilities","Adaptability, Critical thinking, Collaboration, Troubleshooting, Innovation",27-39,0,50832,"Cubano, Italiano, Italiano"
