qId,kId,Education,City,Skills,SoftSkills,Age,Language,Certificates,Experience,Salary,SmartWork,Experience_abroad,score,w_score,labels
12,170,0.8,0.46517625,0.0,0.0,0.2857143,0.0,0.0,0.0,0.0,0,0,1.474670509166984,0.1670482594807929,1
35,84,1.0,0.39466897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.4114990992201275,0.0491617584734278,0
46,196,1.0,0.3576956,0.0,0.0,1.0,0.0,0.75,0.875,0.0,0,0,4.112501595706542,0.4067485514211387,2
41,60,1.0,0.9140155,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,3.000063293151248,0.1068477425953914,1
13,295,1.0,0.79621667,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,3.859118412436748,0.1463631422297827,1
14,166,1.0,0.9509888,0.0,0.0,0.71428573,0.0,0.0,0.0,0.0,0,0,2.670625735343752,0.2436643622109652,1
18,27,0.8,0.19862425,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,3.132276522036888,-0.0168103412169306,0
47,276,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,4.9315428441136735,0.4127601526555459,2
22,253,1.0,0.9028375,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,4.947408112255032,0.3441030755263066,2
49,277,1.0,0.9561479,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,2.46568279903044,0.2774126521567931,1
44,42,1.0,0.41616508,0.0,0.0,0.85714287,0.6666667,0.0,0.0,1.0,0,1,5.06091060444749,0.3810794797973593,2
0,20,1.0,0.7644024,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0,0,4.224815034769454,0.4777918994824139,2
11,210,0.8,0.49097162,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0,0,2.816209274393144,0.0534734941842365,0
3,188,1.0,0.89509887,0.0,0.33333334,1.0,0.0,0.45454547,0.0,1.0,0,0,4.674232945501898,0.3314290805023399,2
7,56,0.8,0.7429063,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0,0,4.089076365636648,0.419158404812735,2
11,73,0.8,0.84866726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3.708561432231341,0.3480800763814525,2
39,180,0.8,1.0,0.0,0.0,0.0,0.33333334,0.0,0.0,1.0,0,0,3.2042903398887863,0.400289221039125,2
13,192,1.0,0.93809116,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,3.922812247894842,0.4107986803575043,2
29,180,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.6145575179050389,0.1170890293979931,1
30,60,1.0,0.62510747,0.0,0.25,1.0,0.33333334,0.0,0.0,1.0,0,0,4.188833687211772,0.4957688459522233,2
7,108,1.0,0.8194325,0.0,0.0,0.71428573,0.5,0.0,0.0,1.0,0,0,4.140575515456047,0.3576318643463551,2
43,240,0.8,0.25365433,0.0,0.0,0.0,0.33333334,0.0,0.0,1.0,0,1,3.4461177882681007,0.5308874457279934,2
49,1,1.0,0.794497,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,2.823015925302504,0.1822008718932084,1
45,184,1.0,0.5760963,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,1,3.166911335297549,0.3867791413681409,2
19,65,1.0,0.6096303,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,5.771118705514258,0.560696640507305,2
24,291,1.0,0.8632846,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0,0,3.3360893944700245,0.4498866532827809,2
25,10,0.6,0.7394669,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0,0,3.8738652686918034,0.3096710195241766,1
37,40,0.8,0.44024077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.2555193622090115,0.0419984965640858,0
9,167,1.0,1.0,0.0,0.5,0.0,0.33333334,0.0,0.0,0.0,0,0,2.7999728813504987,0.2857850879199358,1
8,94,1.0,0.38607052,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2.356813780052493,-0.0084007433038602,0
15,182,1.0,0.8460877,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2.973322341742966,0.3474115593155482,2
41,106,1.0,0.9750645,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0,0,3.5807913275768604,0.1671506318298336,1
33,143,0.8,0.64488393,0.0,0.33333334,1.0,0.0,0.33333334,0.0,0.0,0,0,3.284631010546,0.4000973658587951,2
34,12,0.8,0.9518487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.8547444421697807,0.394357754049125,2
