qId,Job,metadata,Edu_essential,Edu_optional,AgeMin,AgeMax,City,Competence_essential,Competence_optional,Knowledge_essential,Knowledge_optional,Language_essential,Language_optional,Experience_essential,Experience_optional
0,subtitler,"{'group': '2643', 'uri_comp_ess': ['2ca8f0db-2c2a-4d07-af6c-effb99fed08b', '7287dff1-7420-4d24-939a-5f4eb15b752b', '1e26cb93-6fec-473e-8153-ca06ad05ec57', '96ae5ab6-d696-4d4f-be1c-d02e722c6f55'], 'uri_comp_opt': ['81633a44-f1db-4a01-a940-804c6905e330', '3c877e65-9ec3-4f5a-9c74-1dc2f6aee5b7', '7378b8c3-3b62-46de-9d67-1c9528954615'], 'uri_know_ess': ['be3f635b-b400-4eb3-b4cc-c44a34f26eae', '0764b28d-04ee-4e80-bf58-b737f02a63e0'], 'uri_know_opt': ['bc8b2c74-cce5-497e-85c2-51d3ede632ad']}",Master-D.,PhD,25,34,Pavia di Udine,"['translate foreign language', 'consult information sources', 'condense information', 'apply grammar and spelling rules']","['use word processing software', 'make surtitles', 'adapt to type of media']","['spelling', 'captioning software']",['audiovisual products'],"[('Italian', 'C1'), ('French', 'C2')]","[('English', 'Null')]",1,True
1,metallurgical technician,"{'group': '3117', 'uri_comp_ess': ['328733a7-6d84-420d-a65c-2a8014fadc60', '3606bf22-1987-4356-b8c4-13e89d8f6c69', '81a2db2c-7e55-44d0-9cd9-74c25147d7cd'], 'uri_comp_opt': [], 'uri_know_ess': ['ffc2465f-d2b5-4b2d-bf6e-56eefbe02da1', 'f12d412a-04e3-49a8-a4f6-2e32a67c12a2', '1c5f1010-17aa-4a17-acd3-3bbef4fcd2b4', '3b2d77a8-6a61-48a0-af4b-e63bd083334f'], 'uri_know_opt': ['74aa00bc-db99-4984-8817-7df2ca954ea1']}",Bachelor-D.,-,26,31,Marnate,"['record data of tests', 'interpret extraction data', 'evaluate test data']",[],"['precious metal processing', 'metal drawing processes', 'corrosion types', 'platinum alloy']",['chemical processes'],"[('Italian', 'Null'), ('English', 'Null')]",[],-,False
2,book publisher,"{'group': '1349', 'uri_comp_ess': ['72729ce9-830b-43a0-b931-8cb9688a69c1', '767c892f-e623-456c-b654-2e3a11d6292a', 'cd5efa8c-e44d-4cbc-91c6-796018dbed68'], 'uri_comp_opt': [], 'uri_know_ess': ['e258707b-7676-4e9b-9c36-20c38018b349', '237db40b-4600-47c0-837f-4a2c4f3014ab', 'e2103a1d-4a84-47a9-b4f7-774787573449'], 'uri_know_opt': ['e7219848-a27a-4bf4-8775-d367707be7c9']}",Bachelor-D.,-,23,28,San Nicolo Gerrei,"['select manuscripts', 'present publishing plan', 'perform project management']",[],"['publishing industry', 'content of project management principles', 'copyrighting legislation']",['sales strategies'],"[('Italian', 'B2'), ('Chinese', 'Null')]",[],3,False
3,sensor engineering technician,"{'group': '3114', 'uri_comp_ess': ['6e34b68e-0d61-49f2-bc4d-571c0326d857', '91abe492-18be-4cce-93c7-0dca07072363', '5133ed7b-0785-4c28-825d-1dcf518c4b5b'], 'uri_comp_opt': [], 'uri_know_ess': ['70a7b3b3-31ef-4b29-a30f-bb7299dff39b', '95c35c3a-035f-47c2-90cf-7e934d20fc08', '0e9e3a56-3b26-4fa5-91df-6d9bfbea4259', '3c333552-8d89-43f5-90bd-856e15bec433'], 'uri_know_opt': ['8a211052-4bec-49c2-9b4e-7914c37d21b4', '4f7fa632-15a6-4739-930b-abbac8055a80']}",PhD,-,30,36,Sagrado,"['test sensors', 'meet deadlines', 'align components']",[],"['sensors', 'electronics', 'electronic test procedures', 'design drawings']","['microprocessors', 'firmware']","[('Spanish', 'C1')]",[],1,False
4,dip tank operator,"{'group': '8122', 'uri_comp_ess': ['6122d586-5978-431f-8e7a-96e61fc1f3fc', '31f01be9-7bbf-4afb-a647-bcd4931cfc8b'], 'uri_comp_opt': ['d9818afc-1dec-4944-8c9c-e3ae8fad176d'], 'uri_know_ess': ['8d4271ca-c9fd-40b3-875f-15f78332a49e', '198b614d-a9af-46f5-b3fd-2672b401dd8e'], 'uri_know_opt': ['f266380e-9830-44db-8f93-60a6e8b9a1b6']}",Degree,-,23,32,Carmagnola,"['wear appropriate protective gear', 'expel inadequate workpieces']",['set up the controller of a machine'],"['quality standards', 'health and safety']",['manufacturing of tools'],"[('German', 'B1'), ('English', 'A2')]","[('Italian', 'Null')]",2,True
5,motor vehicle engine tester,"{'group': '3115', 'uri_comp_ess': ['68b6ef08-d823-489d-a95c-752ae6f6e6a7', '465ff64a-1271-4064-8ed1-e969cb68d8b4', 'ed938748-60ae-4964-a657-ff2685ecc0d0', '68162174-68c3-4601-840b-5e63c2dd7481'], 'uri_comp_opt': ['f8cfab53-c7f7-465d-9eca-d2a28e4dc708', 'c3d61bcf-e698-4d39-8db1-388284dbfc74', 'c5c51528-ccfc-4c53-b409-c200aaa44222'], 'uri_know_ess': ['efa141df-f382-418f-9121-bd88fd735669', '72a74f69-5cf1-43c5-99b9-62a444578919', 'f5fa2654-52cc-45d2-ac92-ac979dee5d12'], 'uri_know_opt': ['1177c6f5-09c5-4c35-873c-afd22d170ad3']}",PhD,-,27,43,Melilli,"['read standard blueprints', 'perform test run', 'conduct analyses of engine performance', 'analyse damaged engines']","['keep maintenance records', 'handle lifting equipment', 'liaise with engineers']","['mechanics', 'engineering processes', 'engine components']",['quality assurance procedures'],"[('English', 'A1')]",[],1,False
6,orthoptist,"{'group': '2267', 'uri_comp_ess': ['b55f61a4-5f9e-4741-ba95-9ac04b64119b', 'ce0d6a42-59c1-433e-ab62-adfc969c46bb'], 'uri_comp_opt': ['e724205b-6b9a-45b4-b629-cd32a6c80b4f', '7d0da710-7fb9-4291-abbe-5e359c8339d0', 'bf2be07f-2290-4d5d-84ec-fbcf3b1001d1'], 'uri_know_ess': ['60c544c9-0815-479c-bcec-93c7891815ea', '2052d546-c8ed-4595-a2e2-49247063372b'], 'uri_know_opt': ['a117f32c-662b-4dd9-b739-1230dd04cb60']}",Master-D.,-,29,41,Povegliano Veronese,"['work in a multicultural environment in health care', 'ensure safety of healthcare users']","['employ foreign languages with patients', ""record healthcare users' billing information"", 'participate in medical inventory control']","['study of pharmacology', 'neurophysiology']",['paedagogy'],"[('Italian', 'C2'), ('Arabic', 'B2')]","[('German', 'Null')]",1,False
7,geographic information systems specialist,"{'group': '2165', 'uri_comp_ess': ['86945516-619a-456e-b0d0-2fb31d927992', '2b834a98-14ff-47e1-8aef-cf8ffae912fa'], 'uri_comp_opt': ['234aeb8d-56c3-4531-9193-1c5e6a8d16cb', '04fe962b-4017-4eb7-9139-7d69b6922bc9'], 'uri_know_ess': ['1cca610d-2afc-44a7-97fc-f2262fb5fc75', '4339176e-3acd-4f7f-a5d9-445bee3d23f2', '023f4870-b417-4bd2-b0ae-78e61587c79f', '2dfa5bd5-c87c-461c-bce9-69b2c58732bd'], 'uri_know_opt': ['790a335b-2005-4b8a-b6fe-47ff7701ebb7', '67785eab-0818-41f9-9756-a8e0a215b95b', '0435fe96-523f-4888-a76f-22df1e92d9c4']}",Degree,-,22,29,Nettuno,"['make surveying calculations', 'mapping data preservation']","['use presentation program', 'use an application-specific interface']","['land survey', 'numeracy', 'geomatics', 'the study of maps']","['topography', 'surveying methods', 'photographic surveying']","[('English', 'C1')]","[('French', 'Null')]",1,False
8,rental service representative,"{'group': '5249', 'uri_comp_ess': ['f756e343-53ed-4981-b028-0f98b843b9bd', 'c39677dc-8a4f-4433-b678-1097eaec65da', '00e53a0a-c0ba-4c9f-a2ed-4706d5832a00'], 'uri_comp_opt': ['279101c1-e325-4349-bf58-401b6c8ff208', 'efe5d94c-2249-4a50-8c44-6e77331c698d'], 'uri_know_ess': ['d6d3fee7-47e2-47f4-a0ec-6c75f28c6abd', '811bdb9d-5bf7-4b5a-a3f5-4fc2002f6d57', 'f75b740c-b36c-495e-bc67-efe347bbc6b5'], 'uri_know_opt': ['5c606d18-6404-4047-b235-350f18e11827']}",Less-than-degree,Degree,20,40,Rescaldina,"['work independently in rental services', 'maintain inventory of rented items', 'to guarantee customer satisfaction']","['operating a cash point', 'managing theft prevention']","['product comprehension', 'financial capability', ""employer's policies""]",['principles of contract law'],"[('Spanish', 'A2')]",[],3,True
9,"computers, computer peripheral equipment and software distribution manager","{'group': '1324', 'uri_comp_ess': ['d15ce60f-ddab-41ce-ba56-398451b77b60', 'aa31bb76-8109-43c4-abc0-21529336a880', '5cd46e15-61ce-4f23-b688-2b9a8c08e2a0', 'be727774-46d7-43d7-aee9-1a51b5cd8c71'], 'uri_comp_opt': [], 'uri_know_ess': ['f929c89e-c363-4132-a918-e021d57b307c', 'a16e3fc6-c77d-46e3-aa18-c691fed47fd1', '9983816d-cc78-4d3f-9e3c-c7baa9ebc77a'], 'uri_know_opt': []}",Degree,-,21,39,Granarolo dell'Emilia,"['have computer literacy', 'handle carriers', 'forecast distribution activities', 'carry out statistical forecasts']",[],"['supply chain administration', 'freight transport methods', 'computing equipment']",[],"[('Chinese', 'B1'), ('Albanian', 'C1')]","[('French', 'Null')]",4,True
