"qId","Job","Edu_essential","Edu_optional","AgeMin","AgeMax","City","Competence_essential0","Competence_essential1","Competence_essential2","Competence_essential3","Competence_optional0","Competence_optional1","Competence_optional2","Knowledge_essential0","Knowledge_essential1","Knowledge_essential2","Knowledge_essential3","Knowledge_optional0","Knowledge_optional1","Knowledge_optional2","Language_essential0","Language_essential1","Language_optional0","Language_level0","Language_level1","Language_level2","Experience_essential","Experience_optional"
"0","bookkeeper","Master-D.","PhD","25","41","Milano","identify accounting errors","attach accounting certificates to accounting transactions","prepare trial accounting balances","prepare financial statements","manage payroll reports","archive documentation related to work","ensure compliance with accounting conventions","financial statements","accounting techniques","-","-","statistics","labour legislation","financial department processes","English","-","-","B2","-","-","3","False"
"1","animation layout artist","Master-D.","-","26","32","Terracina","study media sources","study relationships between characters","follow work schedule","-","rig 3D characters","design graphics","manage portfolio","multimedia systems","ICT software specifications","graphic design","-","SketchBook Pro","augmented reality","motion capture","English","-","French","C1","-","B1","1","True"
"2","import export specialist in tobacco products","Bachelor-D.","Master-D.","24","31","Buglio in Monte","create import-export commercial documentation","speak different languages","-","-","-","-","-","embargo regulations","regulations on substances","international commercial transactions rules","general principles of food law","-","-","-","Italian","-","Spanish","C2","-","B1","3","False"
"3","fish, crustaceans and molluscs distribution manager","Master-D.","PhD","24","31","Dobbiaco","create solutions to problems","implement strategic planning","manage staff","-","-","-","-","hazardous freight regulations","freight transport methods","fish, crustacean and mollusc products","-","-","-","-","Italian","English","-","C2","C1","-","2","True"
"4","import export manager in hides, skins and leather products","Bachelor-D.","-","25","33","Pozzuoli","monitor international market performance","managing a business with great care","create solutions to problems","-","-","-","-","embargo regulations","hides, skins and leather products","-","-","-","-","-","Spanish","-","French","A2","-","B1","3","False"
"5","broadcast technician","Master-D.","-","25","43","Cerreto Guidi","set up broadcast equipment","monitor quality of broadcasts","operate electronic measuring instruments","manage sound quality","assemble video tape footage","signal cues to announcers","-","audiovisual products","broadcast equipment","-","-","audiovisual equipment","-","-","French","Italian","-","B1","C2","-","2","True"
"6","emergency medical dispatcher","Less-than-degree","-","19","38","Milano","comply with quality standards related to healthcare practice","answer emergency calls","-","-","communicate in foreign languages with health service providers","-","-","local geography","medical dispatch","-","-","health care system","customer service","professional documentation in health care","German","Spanish","Italian","A2","B1","C2","-","True"
"7","paper engineer","Master-D.","PhD","27","34","Mantova","monitor production developments","optimise production","monitor pulp quality","check paper quality","-","-","-","sizes of paper","engineering processes","-","-","sales strategies","types of wood","-","Italian","English","Russian","C2","A2","B2","-","True"
"8","personal shopper","Degree","-","22","32","Bologna","implement customer follow-up","accompany people","develop professional network","-","achieve sales targets","advise on furniture style","-","trends in fashion","-","-","-","sales argumentation","-","-","Italian","-","-","C2","-","-","2","True"
"9","customer service representative","Less-than-degree","Degree","19","26","Diano Marina","ensure client orientation","process order forms with customer's information","keep records of customer interaction","control of expenses","use customer relationship management software","-","-","customer service","-","-","-","data mining methods","-","-","English","Spanish","-","C1","B2","-","1","False"
"10","sugar, chocolate and sugar confectionery distribution manager","Master-D.","-","29","44","Bologna","plan transport operations","carry out inventory control accuracy","ensure customs compliance","-","-","-","-","supply chain management","hazardous freight regulations","sugar, chocolate and sugar confectionery products","-","-","-","-","Spanish","French","English","B1","B1","B1","1","False"
"11","ceiling installer","Master-D.","PhD","29","44","Aldeno","transport construction supplies","maintain work area cleanliness","-","-","snap chalk line","monitor stock level","-","-","-","-","-","types of ceiling","-","-","French","-","-","B1","-","-","1","False"
