qId,kId,relevance,binned_relevance,info,fitness_edu_basic,fitness_edu_bonus,fitness_city,fitness_age,fitness_exp_basic,fitness_exp_bonus,fitness_lang_basic,fitness_lang_lvl_basic,fitness_lang_bonus,fitness_comp_essential,fitness_comp_sim_essential,fitness_comp_optional,fitness_comp_sim_bonus,fitness_know_essential,fitness_know_sim_essential,fitness_know_optional,fitness_know_sim_optional
91,7242,56.01875678390326,3,,1,1,0.0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
23,1863,64.88176918842575,4,,1,0,0.0,1,0,0,1.0,1.0,0.0,0.75,0.25,1.0,0.0,1.0,0.0,0.6666666666666666,0.25
4,326,61.74752608849994,3,,1,0,0.0,1,1,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.25,0.0,0.25
9,715,38.97961329458929,2,,1,0,0.0,1,0,0,0.5,0.5,0.0,0.25,0.5,0.0,0.0,1.0,0.0,0.0,0.0
69,5474,35.08894393885474,2,,0,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25
129,10232,63.54815121381485,4,,1,0,0.0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
128,10160,65.10794009014357,4,,1,0,0.0,1,1,1,1.0,1.0,0.0,0.6666666666666666,0.5,0.0,0.0,0.6666666666666666,0.5,0.0,0.0
132,10475,71.86029470750782,4,,1,0,0.0,1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.25,0.3333333333333333,0.25,0.0,0.25
118,9415,46.575851601161204,2,,1,1,0.0,1,1,0,0.5,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0
129,10261,58.74987036508,3,,1,0,0.0,1,0,0,1.0,0.5,0.0,0.75,0.5,0.0,0.5,0.6666666666666666,0.5,0.0,0.25
17,1415,19.228378848784,1,,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25
191,15313,14.582018271387252,0,,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
157,12598,17.630934536860167,1,,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
25,2061,45.1460882548577,2,,1,0,0.0,1,0,0,1.0,1.0,0.0,0.25,0.25,0.0,0.25,0.3333333333333333,0.25,0.0,0.0
161,12890,67.7919010847486,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,0.75,0.25,0.0,0.25,0.75,0.25,0.0,0.0
35,2857,49.06848757913323,3,,1,0,0.0,0,0,0,1.0,1.0,0.0,0.3333333333333333,0.25,0.0,0.25,0.6666666666666666,0.25,0.0,0.0
33,2641,70.76644165362869,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.25,1.0,0.0,0.5,0.25
96,7632,60.91788547782539,3,,1,1,0.0,1,1,0,0.5,0.5,0.0,0.3333333333333333,0.25,0.0,0.25,0.75,0.25,0.0,0.25
113,9004,60.47014422100035,3,,1,0,0.0,1,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0
95,7576,68.88078822677745,4,,1,0,0.0,1,1,1,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0
42,3351,56.14406355338383,3,,1,0,0.0,1,1,0,0.5,0.5,0.0,0.3333333333333333,0.5,0.0,0.5,0.5,0.25,0.0,0.25
127,10143,12.6668362816682,0,,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
80,6333,67.20099709184767,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,0.6666666666666666,0.75,0.0,0.0,1.0,0.0,0.0,0.25
126,9986,66.35186765620738,4,,1,1,1.0,0,0,0,1.0,1.0,0.0,0.5,0.25,0.0,0.25,1.0,0.0,0.0,0.25
152,12200,46.010058753968124,2,,1,0,0.0,1,0,0,1.0,1.0,0.0,0.3333333333333333,0.25,0.0,0.25,0.5,0.25,0.0,0.0
133,10568,67.98694848880072,4,,1,0,0.0,1,1,1,1.0,1.0,0.0,0.6666666666666666,0.25,0.0,0.0,1.0,0.0,0.0,0.0
102,8126,34.83475977504678,2,,1,0,0.0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.5,0.25,0.3333333333333333,0.25,0.0,0.0
34,2771,52.55236091843645,3,,1,0,0.0,1,0,0,0.5,0.5,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
78,6186,71.07648451472147,4,,1,0,1.0,1,1,0,1.0,1.0,0.0,0.6666666666666666,0.25,0.0,0.25,1.0,0.0,0.0,0.25
61,4876,58.17943730194101,3,,1,0,0.0,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.6666666666666666,0.5,0.0,0.5
19,1561,41.963495468669606,2,,1,0,0.0,1,0,0,1.0,1.0,0.0,0.25,0.25,0.0,0.25,0.5,0.25,0.0,0.25
180,14444,36.38755661709331,2,,1,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
54,4334,36.369037831482586,2,,1,0,1.0,0,0,0,1.0,1.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
97,7744,47.076865197448555,3,,1,0,0.0,0,1,0,1.0,1.0,0.0,0.3333333333333333,0.25,0.0,0.25,0.5,0.25,0.0,0.0
60,4818,51.044879350156606,3,,1,1,0.0,0,1,1,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25
79,6246,55.41287741208579,3,,1,0,0.0,1,1,1,0.5,0.5,0.0,0.25,0.75,0.0,0.0,0.3333333333333333,0.5,0.0,0.0
