qId,kId,relevance,binned_relevance,info,fitness_edu_basic,fitness_edu_bonus,fitness_city,fitness_age,fitness_exp_basic,fitness_exp_bonus,fitness_lang_basic,fitness_lang_lvl_basic,fitness_lang_bonus,fitness_comp_essential,fitness_comp_sim_essential,fitness_comp_optional,fitness_comp_sim_bonus,fitness_know_essential,fitness_know_sim_essential,fitness_know_optional,fitness_know_sim_optional
133,10537,54.39431854541479,3,,1,0,0.0,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
119,9425,51.20653932264361,3,,1,0,0.0,0,0,0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25
138,10938,52.36259693817192,3,,1,0,0.0,0,0,0,1.0,1.0,0.0,0.6666666666666666,0.25,0.0,0.25,1.0,0.0,0.0,0.25
124,9886,29.2734465821585,1,,0,0,0.0,1,1,0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
101,8054,62.78832258335855,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0
99,7852,65.1219526915274,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,0.6666666666666666,0.25,0.0,0.25
76,6027,49.020970040773875,3,,1,0,0.0,1,1,0,0.0,0.0,0.0,0.6666666666666666,0.25,0.0,0.0,1.0,0.0,0.0,0.0
169,13540,56.43037045491448,3,,1,0,0.0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0
72,5700,59.0516943489484,3,,1,0,0.0,1,1,0,0.5,0.5,0.0,0.6666666666666666,0.25,0.0,0.25,1.0,0.0,0.0,0.25
30,2455,28.60779057083459,1,,1,0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
101,8087,31.036938542942156,1,,0,0,0.0,1,0,0,0.5,0.5,0.0,0.0,0.25,0.0,0.25,0.5,0.0,0.0,0.0
118,9410,32.99634484556606,2,,1,0,0.0,0,1,0,0.5,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0
108,8619,75.96487065729718,4,,1,0,0.0,1,0,0,0.5,0.5,0.0,1.0,0.0,0.0,0.75,1.0,0.0,1.0,0.0
15,1210,64.52259256551564,4,,1,0,0.0,1,1,0,1.0,0.5,0.0,0.25,0.5,0.0,0.0,0.5,0.5,0.0,0.0
1,135,13.603600017670576,0,,0,0,0.0,0,0,0,0.5,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
64,5076,59.45769025342173,3,,1,0,0.0,1,1,0,0.5,0.5,0.0,1.0,0.0,0.0,0.25,0.5,0.25,0.0,0.25
133,10580,74.60107910030553,4,,1,0,1.0,1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,3208,51.36029611780842,3,,1,0,0.0,1,0,0,0.5,0.5,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
80,6351,62.520208905123596,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,0.6666666666666666,0.5,0.0,0.0,0.6666666666666666,0.25,0.0,0.25
70,5499,54.417483951106774,3,,1,1,0.0,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
184,14727,62.23855466848666,3,,1,0,1.0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0
116,9233,42.06351774252764,2,,1,0,0.0,1,0,0,0.0,0.0,0.0,0.3333333333333333,0.25,0.0,0.0,1.0,0.0,0.0,0.0
28,2279,66.2365160018889,4,,1,0,0.0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.25,1.0,0.0,0.0,0.0
106,8409,61.230675471131136,3,,1,0,0.0,1,1,0,1.0,1.0,0.0,0.6666666666666666,0.25,0.3333333333333333,0.25,1.0,0.0,0.0,0.0
60,4783,67.39202134901383,4,,1,0,0.0,1,1,1,0.5,0.5,0.0,1.0,0.0,0.5,0.25,1.0,0.0,0.0,0.25
157,12533,64.0949675164101,4,,1,0,0.0,1,0,0,1.0,1.0,0.0,0.75,0.25,0.0,0.25,1.0,0.0,0.0,0.0
9,725,53.57835268298332,3,,1,0,0.0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,2527,64.6159750985137,4,,1,0,0.0,1,0,0,1.0,1.0,1.0,0.3333333333333333,0.5,0.0,0.0,0.75,0.25,0.0,0.25
177,14194,50.941401312073694,3,,1,0,0.0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0
181,14517,37.538178203615644,2,,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
178,14236,68.63267121824168,4,,1,0,0.0,1,0,0,1.0,1.0,0.5,1.0,0.0,0.0,0.25,1.0,0.0,0.5,0.25
127,10080,69.47897941087915,4,,1,1,0.0,1,1,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0
101,8094,20.34313870835024,1,,0,0,0.0,1,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0
142,11251,46.7197993089039,2,,1,1,0.0,1,0,0,0.0,0.0,0.5,1.0,0.0,0.0,0.25,0.3333333333333333,0.5,1.0,0.0
184,14694,59.57455122112425,3,,1,0,0.0,1,1,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0
17,1369,40.07239558175419,2,,1,0,0.0,1,0,0,0.0,0.0,0.0,0.5,0.25,0.0,0.25,1.0,0.0,0.0,0.25
143,11354,67.0103028972971,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,26,66.36627123886748,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
143,11388,38.333398093529055,2,,1,1,0.0,0,1,0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0
28,2307,23.662381740372403,1,,0,0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
41,3271,61.74146526862542,3,,1,0,1.0,1,1,0,1.0,1.0,0.0,0.3333333333333333,0.5,0.0,0.25,1.0,0.0,0.0,0.0
77,6071,53.21200550305849,3,,1,0,0.0,1,0,0,1.0,0.0,0.0,0.6666666666666666,0.25,0.0,0.25,0.5,0.25,0.0,0.25
151,12081,56.497787884939726,3,,1,0,0.0,1,1,1,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
110,8789,44.59493322488345,2,,1,0,0.0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0
100,7999,34.77261203123322,2,,1,0,0.0,0,1,0,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
150,11951,73.01233861306832,4,,1,0,0.0,1,0,0,1.0,1.0,0.0,0.5,0.75,0.5,0.5,1.0,0.0,1.0,0.0
53,4202,62.35972428329649,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
74,5897,15.807231787290188,1,,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
167,13415,26.23753481533374,1,,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
145,11552,48.134013230427485,3,,1,0,0.0,1,0,0,0.5,0.5,0.0,1.0,0.0,0.0,0.25,0.5,0.5,0.0,0.0
99,7834,65.67352891713338,4,,1,0,0.0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,0.3333333333333333,0.5,0.3333333333333333,0.25
70,5509,69.47614810219494,4,,1,1,0.0,1,1,0,1.0,1.0,0.0,0.5,0.5,0.0,0.25,0.5,0.25,0.0,0.25
97,7706,54.55482858474991,3,,1,0,0.0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0
57,4588,26.271720265674823,1,,1,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,5669,65.63884373596217,4,,1,0,0.0,1,0,0,1.0,1.0,0.0,0.3333333333333333,0.25,0.0,0.25,0.6666666666666666,0.25,1.0,0.0
183,14620,51.12698484387526,3,,1,0,0.0,1,0,0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.25
135,10731,24.61269560783098,1,,1,0,0.0,0,0,0,0.0,0.0,0.0,0.3333333333333333,0.25,0.0,0.25,0.5,0.25,0.0,0.0
44,3504,55.61245470584265,3,,1,0,0.0,1,0,0,1.0,1.0,1.0,0.75,0.25,0.0,0.0,1.0,0.0,0.0,0.0
97,7711,63.61060526767331,4,,1,0,0.0,0,1,0,1.0,1.0,0.0,0.6666666666666666,0.25,0.0,0.5,1.0,0.0,0.0,0.0
86,6834,60.86040647706585,3,,1,0,0.0,1,1,0,1.0,1.0,0.0,0.6666666666666666,0.5,0.0,0.25,1.0,0.0,0.0,0.0
67,5345,18.659065338260817,1,,0,0,0.0,0,0,0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25
96,7644,74.55483640777622,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,0.5,0.25,0.5,0.25
61,4868,56.47591116427522,3,,1,0,0.0,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.6666666666666666,0.25,0.0,0.25
24,1922,54.52502571227318,3,,1,0,0.0,1,1,0,0.5,0.5,0.0,0.5,0.25,0.0,0.25,1.0,0.0,0.0,0.25
169,13580,8.741893498050057,0,,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,14497,70.94743090928331,4,,1,1,0.5,1,0,0,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.25,1.0,0.0,0.0,0.0
53,4196,54.04843017566594,3,,1,0,0.0,1,1,0,1.0,1.0,0.0,0.25,0.25,0.0,0.25,0.3333333333333333,0.25,0.0,0.0
135,10712,49.70295253874306,3,,1,0,0.0,1,0,0,1.0,1.0,0.0,0.3333333333333333,0.25,0.0,0.25,0.5,0.25,0.0,0.0
162,12932,67.2468503433455,4,,1,0,0.0,1,0,0,1.0,1.0,0.0,0.6666666666666666,0.75,0.0,0.25,1.0,0.0,0.0,0.0
43,3459,21.43562950949721,1,,0,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
74,5842,77.16971896309194,4,,1,0,0.0,1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
196,15662,57.11301188654427,3,,1,0,0.5,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
153,12258,63.12094565990989,4,,1,0,0.0,1,1,1,1.0,1.0,0.0,0.6666666666666666,0.25,0.0,0.25,1.0,0.0,0.0,0.0
15,1148,58.27986860433711,3,,1,0,0.0,1,1,0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
149,11859,65.78835709251022,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0
85,6748,55.13485354737243,3,,1,0,0.0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
183,14606,52.27030179326543,3,,1,0,0.0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25
191,15286,45.570782342898866,2,,1,0,0.0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0
184,14736,53.9383497961133,3,,1,0,0.0,1,0,0,1.0,1.0,0.0,0.5,0.25,0.0,0.25,1.0,0.0,0.0,0.0
21,1683,44.64111066496298,2,,1,0,0.0,1,0,0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
152,12212,27.408039222216914,1,,0,0,0.0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0
53,4191,66.16740717297992,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0
166,13319,75.06870959879713,4,,1,0,0.0,1,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.25
40,3234,33.855769226121645,2,,0,0,0.0,1,1,0,0.5,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25
74,5864,68.9455691139795,4,,1,0,0.0,1,1,1,1.0,1.0,0.0,0.25,0.25,0.0,0.25,1.0,0.0,0.0,0.25
140,11106,45.10157450956544,2,,1,0,0.0,1,0,0,0.5,0.5,0.0,0.6666666666666666,0.25,0.0,0.25,1.0,0.0,0.0,0.25
97,7695,71.0509585937276,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,0.6666666666666666,0.25,1.0,0.0,1.0,0.0,0.0,0.0
41,3303,27.03821706078788,1,,0,0,0.0,1,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
97,7743,47.25067289644879,3,,1,0,0.0,1,1,0,0.0,0.0,0.0,0.3333333333333333,0.25,0.0,0.25,1.0,0.0,0.0,0.0
67,5292,55.85649160719245,3,,1,0,0.0,1,1,0,0.0,0.0,1.0,0.5,0.25,0.0,0.25,0.25,0.25,0.0,0.25
91,7198,37.78134472943064,2,,1,0,0.0,1,0,0,1.0,1.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0
