qId,kId,relevance,binned_relevance,info,fitness_edu_basic,fitness_edu_bonus,fitness_city,fitness_age,fitness_exp_basic,fitness_exp_bonus,fitness_lang_basic,fitness_lang_lvl_basic,fitness_lang_bonus,fitness_comp_essential,fitness_comp_sim_essential,fitness_comp_optional,fitness_comp_sim_bonus,fitness_know_essential,fitness_know_sim_essential,fitness_know_optional,fitness_know_sim_optional
144,11480,38.31668282766154,2,,1,0,1.0,1,0,0,1.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
110,8749,61.26713314264046,3,,1,0,0.0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0
91,7196,51.981048629650644,3,,1,0,0.5,1,0,0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
101,8039,53.284796361255005,3,,1,0,0.0,1,0,0,0.5,0.5,0.0,0.75,0.5,0.0,0.25,1.0,0.0,0.0,0.0
108,8640,17.63687768483936,1,,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,12590,54.83321148651406,3,,1,0,0.0,1,0,0,0.5,0.5,0.0,0.25,0.25,0.0,0.25,0.3333333333333333,0.25,0.0,0.0
96,7664,45.23411444979752,2,,1,1,0.0,0,0,0,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
32,2611,61.30080683977721,3,,1,1,0.0,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.3333333333333333,0.25,0.0,0.5
154,12355,51.80567855716059,3,,1,0,0.0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0
193,15429,66.88612103391888,4,,1,0,0.0,1,0,0,1.0,1.0,0.0,0.5,0.25,0.0,0.25,1.0,0.0,0.0,0.25
76,6031,51.28182667565051,3,,1,0,0.0,1,1,0,1.0,0.0,0.0,0.3333333333333333,0.25,0.0,0.0,1.0,0.0,0.0,0.0
37,3006,50.11070961722183,3,,1,0,0.0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.25
28,2247,52.94604814866196,3,,1,0,0.0,0,1,1,1.0,0.0,0.0,0.5,0.25,0.0,0.25,0.6666666666666666,0.25,0.0,0.0
56,4473,56.83887980102466,3,,1,0,0.0,1,1,0,1.0,1.0,0.0,0.25,0.25,0.0,0.0,0.3333333333333333,0.25,0.0,0.25
140,11138,14.884451833535948,0,,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25
177,14174,51.899573614297964,3,,1,0,0.0,1,0,0,1.0,1.0,0.0,0.3333333333333333,0.25,0.0,0.25,0.5,0.25,0.0,0.0
76,6042,25.84718549143752,1,,1,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0
75,5906,44.103874162346386,2,,1,0,0.0,1,0,0,0.0,0.0,0.0,0.6666666666666666,0.25,0.0,0.25,1.0,0.0,0.0,0.25
106,8469,40.439649109604815,2,,1,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
155,12409,35.17310109477337,2,,1,0,0.0,0,0,0,1.0,0.0,0.0,0.5,0.25,0.0,0.0,0.3333333333333333,0.25,0.0,0.25
80,6373,39.18596204996664,2,,1,0,0.0,1,0,0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.6666666666666666,0.25,0.0,0.25
157,12548,56.7115749789436,3,,1,0,0.0,1,0,0,0.5,0.5,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0
45,3619,24.33047716676391,1,,0,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
146,11659,27.484721432110568,1,,1,0,0.0,0,1,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,8139,65.80935432330055,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,0.6666666666666666,0.25,0.0,0.0
6,497,47.97417996800799,3,,1,0,0.0,1,1,0,0.5,0.5,0.0,1.0,0.0,0.0,0.25,0.5,0.25,0.0,0.25
174,13987,34.62150012908276,2,,1,1,1.0,1,0,0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
1,120,63.24459039178329,4,,1,0,0.0,1,0,0,1.0,1.0,0.0,0.3333333333333333,0.25,0.0,0.0,1.0,0.0,0.0,0.25
78,6226,29.706657541018732,1,,0,0,0.0,1,0,0,1.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25
97,7687,53.317258675696536,3,,1,0,0.0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0
5,418,64.14704443405795,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,0.5,0.25,0.0,0.25,1.0,0.0,1.0,0.0
127,10109,63.81726924426167,4,,1,1,0.0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,0.3333333333333333,0.25,0.0,0.0
9,691,39.89502448897598,2,,1,0,0.0,1,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.6666666666666666,0.25,0.0,0.0
147,11685,53.276782628509224,3,,1,0,0.0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25
150,12000,63.172257156295615,4,,1,0,0.0,1,0,0,1.0,1.0,0.0,0.5,0.5,0.0,0.25,1.0,0.0,0.0,0.25
114,9082,69.2308854097808,4,,1,1,0.0,1,1,0,1.0,1.0,0.0,0.5,0.25,0.0,0.25,0.3333333333333333,0.5,0.5,0.5
83,6612,52.31773030174192,3,,1,0,0.0,1,0,0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
66,5278,26.125124911998007,1,,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
77,6118,60.37411340342521,3,,1,0,0.0,1,0,0,1.0,1.0,0.5,1.0,0.0,0.0,0.25,1.0,0.0,1.0,0.0
24,1978,60.82389833084055,3,,1,0,0.0,1,0,0,1.0,1.0,0.0,0.5,0.25,0.0,0.25,1.0,0.0,0.0,0.25
80,6390,33.11025231647635,2,,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25
52,4161,31.0989327719644,1,,1,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
189,15128,53.0962988729503,3,,1,0,0.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
187,14991,39.54293049986623,2,,1,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25
124,9850,65.92104613747243,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,0.75,0.25,0.0,0.25,1.0,0.0,0.0,0.25
156,12482,46.07652233042482,2,,1,0,0.0,0,0,0,0.5,0.5,0.0,1.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0
145,11554,52.999437494321285,3,,1,0,0.0,1,1,0,1.0,1.0,0.0,0.5,0.25,0.0,0.25,0.5,0.5,0.0,0.0
166,13338,26.40575506543116,1,,0,0,0.0,0,1,0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25
21,1747,41.5731944771408,2,,1,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0
85,6782,16.657145151636293,1,,0,0,0.0,1,0,0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0
135,10708,69.27307226423143,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0
62,4909,55.77031688193057,3,,1,0,0.0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
79,6270,64.06386457482174,4,,1,0,0.0,1,1,1,1.0,1.0,0.0,0.75,0.75,0.0,0.0,1.0,0.0,0.0,0.0
62,4935,67.06195684128164,4,,1,0,0.0,1,1,0,0.5,0.5,0.0,0.5,0.25,0.0,0.0,1.0,0.0,0.0,0.0
