qId,kId,Education,City,Skills,SoftSkills,Age,Language,Certificates,Experience,Salary,SmartWork,Experience_abroad,score,w_score,relevance
36,250,1.0,0.7979364,0.0,0.0,1.0,0.0,0.375,0.0,0.0,0,0,3.1885631382417805,0.12246775850318206,1
4,14,1.0,0.90025795,0.0,0.0,0.2857143,1.0,0.0,0.0,1.0,0,1,5.11459576235408,0.40874146617513263,2
5,126,1.0,0.5812554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.4823617549462162,0.24855135119758048,1
10,248,0.6,0.6509028,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,3.258303396992766,0.11138106505034437,1
13,27,1.0,0.26569217,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,3.4589647862379906,0.22178989018940196,1
18,157,1.0,0.8624248,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,2.9411211246952567,0.19877427793285768,1
32,280,1.0,0.9518487,0.0,0.5,0.5714286,0.0,0.0,0.0,1.0,0,0,3.910747971601336,0.27950338847128064,1
20,70,1.0,0.9251935,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0,0,2.411766951078841,0.3642856844576679,2
11,143,1.0,0.44196045,0.0,0.0,0.85714287,0.0,0.0,0.0,0.0,0,1,3.327229803219918,0.11387078841667814,1
29,193,0.6,0.9028375,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0,0,1.8122282695068699,0.05560514610794107,0
45,100,1.0,0.5150473,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,1.819860825879968,0.20726039264036228,1
2,153,0.6,0.89509887,0.4,0.5,0.0,0.0,0.6666667,0.0,0.2,0,0,3.0876689880465062,0.2797672076082022,1
40,224,1.0,1.0,0.0,0.25,1.0,0.0,0.0,0.0,1.0,0,0,4.376129136696245,0.4722056354114554,2
6,231,0.8,1.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0,0,2.132285180396676,0.1577437799071662,1
31,103,0.8,0.64918315,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,3.453302641454499,0.4059650702852962,2
6,93,0.8,0.8632846,0.0,0.0,0.0,0.25,0.33333334,0.0,0.0,0,0,2.283126816475958,0.22505758915164206,1
3,68,1.0,0.5511608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.473091373804642,0.1511297115994008,1
5,79,1.0,0.45399827,0.0,0.0,0.85714287,0.0,0.0,0.0,1.0,0,0,3.341943395534009,0.35357496146828227,2
31,226,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.718721089323634,0.12173756091632047,1
