qId,kId,Education,City,Skills,SoftSkills,Age,Language,Certificates,Experience,Salary,SmartWork,Experience_abroad,score,w_score,relevance
16,104,0.8,0.6328461,0.0,0.0,0.5714286,0.0,0.0,0.0,1.0,0,0,3.069629627725293,0.40495022484511534,2
29,20,1.0,0.92691314,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,2.8947099611058036,0.44374129009810187,2
31,128,0.8,0.7420464,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,3.5180317084357475,0.21619491588006437,1
17,43,0.6,0.6345658,0.0,0.0,1.0,0.0,0.22222222,0.0,0.0,0,0,2.4806569573057486,0.2025456100843634,1
3,148,1.0,0.5812554,0.0,0.33333334,1.0,0.0,0.45454547,0.0,0.0,0,0,3.35453233860344,0.31612948586230094,1
23,269,0.8,0.8822012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.7134356291144013,0.3484323304653111,2
13,280,1.0,0.9036973,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,3.8397268430976426,0.4201729196622616,2
44,202,1.0,1.0,0.0,0.0,0.0,0.33333334,0.0,0.0,1.0,0,1,4.198501080420053,0.30503193801754175,1
46,192,1.0,0.3233018,0.0,0.0,1.0,0.0,0.25,0.0,1.0,0,0,3.417587677932646,0.12205962387150679,1
34,179,0.6,0.8245916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.3576164666678174,0.19033401633419547,1
3,163,1.0,0.34995702,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2.1906557506098463,0.3489438059041042,2
24,70,1.0,0.9759243,0.0,0.0,0.14285715,0.5,0.0,0.0,0.0,0,0,2.6442281420851232,0.21297508817191543,1
46,187,1.0,0.77644026,0.0,0.0,0.14285715,0.0,0.5,0.0,0.0,0,0,2.251535942661761,0.1536913780405582,1
5,119,1.0,0.494411,0.0,0.5,0.0,0.33333334,0.0,0.0,0.0,0,0,2.2898905457957555,0.360794339507182,2
18,137,1.0,0.39036974,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2.553526073178181,0.2806278211650129,1
17,38,0.8,0.6792777,0.0,0.0,0.0,0.0,0.22222222,0.0,1.0,0,0,2.6694868880905367,0.2512586462723547,1
13,193,1.0,0.94067067,0.0,0.5,0.2857143,0.33333334,0.0,0.0,1.0,0,1,5.1545884515470375,0.448484006439653,2
45,216,1.0,0.6552021,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,1,3.1872150113761717,0.28591670246321893,1
41,161,1.0,0.28804815,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2.3459316269426354,0.19577098076618288,1
21,103,1.0,0.5993121,0.0,0.25,1.0,0.33333334,0.0,0.0,0.0,0,0,3.133759766177476,0.4353186733903973,2
46,102,1.0,0.2527945,0.0,0.0,1.0,0.125,0.5,0.0,1.0,0,0,3.9872063812511005,0.3596784879019553,2
40,64,0.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2.6548451327683855,0.036366115079063926,0
49,173,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0,2.4352590397495177,0.24108336996893567,1
36,217,1.0,0.79879624,0.0,0.0,0.0,0.0,0.625,0.0,1.0,0,0,3.5075777941426307,0.15143881150879696,1
32,289,1.0,0.93637145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3.817900198586019,0.4079526745116663,2
13,160,1.0,0.8839209,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,5.885506455876167,0.21631977643445496,1
49,111,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0,2.2557614600288938,0.11998222590457878,1
30,33,1.0,0.99914014,0.25,0.0,0.71428573,0.33333334,0.2,0.0,1.0,0,0,4.355078596008472,0.32167913610230076,2
14,105,1.0,0.38005158,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,3.34617383788973,0.20466051163703547,1
38,203,1.0,1.0,0.0,0.0,0.42857143,0.5,0.0,0.0,1.0,0,0,3.8577880446063686,0.16981570619642045,1
12,268,0.8,0.60877043,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2.465397393809971,0.28823348386549225,1
48,296,0.8,1.0,0.0,0.33333334,0.2857143,0.0,1.0,0.0,1.0,0,0,4.379360904758876,0.5505203817713079,2
22,108,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0,1,5.42304318527661,0.12070557054193665,1
41,137,1.0,0.4350817,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2.3485474316597506,0.316720515890039,1
44,44,1.0,1.0,0.0,0.0,0.85714287,0.0,0.0,0.0,0.0,0,1,3.8651389385043458,0.2257199295531032,1
48,233,0.6,0.88564056,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,3.5823997340543903,0.22253382618816087,1
22,10,0.8,0.75322443,0.0,0.25,1.0,1.0,0.0,0.0,1.0,0,1,5.684099452024554,0.3735929871100164,2
28,22,0.8,0.92863286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,2.793443503424104,0.12582131919673675,1
22,265,1.0,0.8048151,0.0,0.0,0.2857143,0.0,0.0,0.0,1.0,0,1,4.039101575441606,0.46844864885967796,2
6,192,0.8,1.0,0.33333334,0.33333334,1.0,0.0,0.6666667,1.0,0.0,0,0,5.267579007089339,0.6830834163598047,3
11,264,0.6,0.86586416,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0,1,3.9778258792435848,0.31024580698863125,1
