comune,num_residenti,P
Avise,325.0,3.462975042924908e-05
Domegge di Cadore,2543.0,0.0002709644779740935
Rovato,18442.0,0.0019650518689729585
Chieve,2251.0,0.0002398509791268913
Ottana,2358.0,0.00025125215849898253
Sante Marie,1177.0,0.00012541297309300357
Brindisi Montagna,916.0,9.760261967136047e-05
Calvagese della Riviera,3501.0,0.00037304232693169544
Santo Stefano Belbo,4074.0,0.00043409724076541763
Pre-Saint-Didier,1040.0,0.00011081520137359704
Malito,822.0,8.75866303164392e-05
Ciglie,192.0,2.0458191022817914e-05
Fosdinovo,4982.0,0.0005308474358108274
Rio Marina,2233.0,0.0002379330237185021
Colfelice,1910.0,0.00020351637944574072
Serina,2170.0,0.00023122017978913998
Villanova del Battista,1732.0,0.0001845499315183366
Castel Frentano,4355.0,0.0004640386557519376
Cornedo Vicentino,12007.0,0.0012793828104738266
Fombio,2299.0,0.00024496552688259575
Zuglio,602.0,6.414495310279367e-05
Tursi,5147.0,0.0005484286937210615
Challand-Saint-Victor,594.0,6.329252847684292e-05
Lierna,2162.0,0.00023036775516318924
Monte Compatri,11498.0,0.0012251472936477103
Introdacqua,2117.0,0.0002255728666422163
Morro d'Oro,3619.0,0.00038561559016446896
Baldissero Torinese,3783.0,0.0004030902949964592
Bedonia,3573.0,0.00038071414856525216
Mugnano del Cardinale,5385.0,0.0005737883263430962
Signa,18266.0,0.001946298527202042
Palazzo San Gervasio,5029.0,0.000535855430488288
Landriano,6010.0,0.0006403840002454983
Borgo Ticino,4970.0,0.0005295687988719013
Scampitella,1307.0,0.0001392648732647032
Scala,1540.0,0.0001640917404955187
Orria,1138.0,0.00012125740304149369
Rezzato,13032.0,0.001388599715673766
Arco,17038.0,0.0018154513471186024
Sesto Campano,2322.0,0.00024741624768220415
Vigarano Mainarda,7491.0,0.0007981891091246303
Lirio,134.0,1.4278112484675003e-05
Tavernola Bergamasca,2144.0,0.00022844979975480004
Molteno,3617.0,0.00038540248400798123
Cossano Canavese,526.0,5.604691915626158e-05
Caravaggio,15905.0,0.0016947267094683278
Noventa di Piave,6943.0,0.0007397980222470041
Castelnuovo Rangone,14329.0,0.0015267990581560307
Sant'Ambrogio di Torino,4747.0,0.0005058074624235242
Valle di Maddaloni,2806.0,0.00029898793755222435
Mirto,998.0,0.00010633997208735562
Pieve Fissiraga,1651.0,0.0001759191321805853
Pontida,3221.0,0.0003432074650234193
Monsampolo del Tronto,4580.0,0.00048801309835680234
Rocca di Cambio,495.0,5.274377373070244e-05
Saccolongo,4973.0,0.0005298884581066328
La Loggia,8812.0,0.0009389457254847472
Marsaglia,248.0,2.642516340447314e-05
Tolentino,20381.0,0.0021716582876877707
Pietrafitta,1356.0,0.00014448597409865154
Amaseno,4344.0,0.00046286657189125536
Caresana,1010.0,0.00010761860902628174
Grosseto,79216.0,0.008440708646164292
Serrenti,5005.0,0.0005332981566104357
Montaldo Bormida,685.0,7.298885859703266e-05
Nogarole Vicentino,1150.0,0.0001225360399804198
Incisa Scapaccino,2290.0,0.00024400654917840117
Travesio,1794.0,0.0001911562223694549
Lerici,9926.0,0.0010576458546483886
Revo,1242.0,0.0001323389231788534
Robecco d'Oglio,2420.0,0.0002578584493501008
Aymavilles,2066.0,0.0002201386596517803
Carbonera,11145.0,0.0011875340570276338
Fortezza,984.0,0.00010484822899194182
Dragoni,2160.0,0.00023015464900670154
Laviano,1490.0,0.00015876408658332654
Cotronei,5422.0,0.0005777307902381185
Castel Vittorio,323.0,3.4416644272761386e-05
Tartano,188.0,2.003197870984254e-05
Beinasco,18164.0,0.0019354301132211698
Berbenno,2432.0,0.0002591370862890269
Prata d'Ansidonia,503.0,5.3596198356653185e-05
Trevico,1037.0,0.00011049554213886552
Selci,1120.0,0.00011933944763310451
San Giorgio Albanese,1523.0,0.00016228033816537336
Rotondi,3597.0,0.0003832714224431044
Erli,263.0,2.802345957813079e-05
Candida,1155.0,0.00012306880537163903
Ispani,996.0,0.00010612686593086794
Simbario,954.0,0.00010165163664462652
Siculiana,4626.0,0.0004929145399560191
Sauze d'Oulx,1083.0,0.0001153969837380823
Ricaldone,683.0,7.277575244054498e-05
Belmonte Calabro,1984.0,0.00021140130723578513
San Pietro Apostolo,1747.0,0.00018614822769199427
Gerola Alta,183.0,1.9499213318623325e-05
Boca,1234.0,0.00013148649855290265
Uzzano,5724.0,0.0006099098198677591
Pieve di Coriano,1047.0,0.00011156107292130395
Moncalieri,55720.0,0.005937137519746949
Locri,12495.0,0.001331380712656822
Bassano Romano,4980.0,0.0005306343296543397
San Nicandro Garganico,16001.0,0.0017049558049797367
Morbello,415.0,4.4219527471194975e-05
Altopiano della Vigolana,1947.0,0.00020745884334076294
Castelverde,5776.0,0.000615450579936439
Guidizzolo,6183.0,0.0006588176827816832
San Rufo,1760.0,0.00018753341770916422
Sordevolo,1358.0,0.0001446990802551392
Roccantica,585.0,6.233355077264834e-05
Matino,11719.0,0.0012486955239395998
Palazzo Pignano,3888.0,0.0004142783682120628
Prata Sannita,1549.0,0.0001650507181997133
Veruno,1898.0,0.0002022377425068146
Piaggine,1407.0,0.00014992018108908755
Carpineto della Nora,682.0,7.266919936230114e-05
Moio de' Calvi,214.0,2.280235874418247e-05
Turate,9146.0,0.000974534453618191
Mentana,21169.0,0.002255622113343919
Montefalco,5715.0,0.0006089508421635645
Gorizia,35532.0,0.0037860439761602405
Bevilacqua,1796.0,0.00019136932852594258
Matelica,10187.0,0.0010854562080700317
Arena Po,1613.0,0.00017187011520731926
Spadafora,5130.0,0.0005466172913909162
Verolanuova,8157.0,0.0008691534592350299
Cerchiara di Calabria,2439.0,0.00025988295783673383
Portopalo di Capo Passero,3761.0,0.0004007461272750947
Cervignano d'Adda,2119.0,0.00022578597279870397
Treviso Bresciano,557.0,5.9350064581820725e-05
Montefalcione,3411.0,0.0003634525498897495
Bronzolo,2646.0,0.0002819394450332094
