code,min_edu
#011,2
#021,2
#031,2
#111,2
#112,2
#121,2
#122,2
#131,2
#132,2
#133,2
#134,2
#141,1
#142,2
#143,2
#211,2
#212,2
#213,2
#214,2
#215,2
#216,2
#221,3
#222,3
#223,3
#224,1
#225,2
#226,2
#231,4
#232,2
#233,2
#234,2
#235,2
#241,2
#242,2
#243,2
#251,2
#252,2
#261,2
#262,0
#263,0
#264,2
#265,0
#311,2
#312,2
#313,2
#314,2
#315,2
#321,2
#322,2
#323,2
#324,2
#325,2
#331,2
#332,2
#333,2
#334,2
#335,2
#341,0
#342,0
#343,1
#351,2
#352,2
#411,2
#412,1
#413,0
#421,0
#422,0
#431,0
#432,0
#441,0
#511,0
#512,0
#513,0
#514,0
#515,2
#516,2
#521,1
#522,0
#523,1
#524,1
#531,2
#532,2
#541,2
#611,0
#612,0
#613,0
#621,1
#622,0
#631,0
#632,0
#633,0
#634,0
#711,0
#712,0
#713,0
#721,2
#722,1
#723,1
#731,1
#732,1
#741,1
#742,1
#751,1
#752,0
#753,1
#754,1
#811,2
#812,1
#813,0
#814,0
#815,0
#816,0
#817,0
#818,0
#821,0
#831,1
#832,1
#833,1
#834,1
#835,1
#911,0
#912,0
#921,0
#931,1
#932,1
#933,1
#941,0
#951,0
#952,0
#961,0
#962,0
