"label","id_occupation"
"technical and operations director","00030d09-2b3a-4efd-87cc-c4ea39d27c34"
"head of technical","00030d09-2b3a-4efd-87cc-c4ea39d27c34"
"director of technical arts","00030d09-2b3a-4efd-87cc-c4ea39d27c34"
"head of technical department","00030d09-2b3a-4efd-87cc-c4ea39d27c34"
"technical supervisor","00030d09-2b3a-4efd-87cc-c4ea39d27c34"
"technical director","00030d09-2b3a-4efd-87cc-c4ea39d27c34"
"technical manager","00030d09-2b3a-4efd-87cc-c4ea39d27c34"
"metal drawing machine operator","000e93a3-d956-4e45-aacb-f12c83fedf84"
"metal drawing machine technician","000e93a3-d956-4e45-aacb-f12c83fedf84"
"metal drawing machine operative","000e93a3-d956-4e45-aacb-f12c83fedf84"
"wire drawer","000e93a3-d956-4e45-aacb-f12c83fedf84"
"draw machine operative","000e93a3-d956-4e45-aacb-f12c83fedf84"
"forming machine technician","000e93a3-d956-4e45-aacb-f12c83fedf84"
"draw machine operator","000e93a3-d956-4e45-aacb-f12c83fedf84"
"wiredrawing setter","000e93a3-d956-4e45-aacb-f12c83fedf84"
"wirer drawer machine operator","000e93a3-d956-4e45-aacb-f12c83fedf84"
"forming machine operative","000e93a3-d956-4e45-aacb-f12c83fedf84"
"draw machine technician","000e93a3-d956-4e45-aacb-f12c83fedf84"
"wiredrawing  machine tender","000e93a3-d956-4e45-aacb-f12c83fedf84"
"inspector of precision instruments","0019b951-c699-4191-8208-9822882d150c"
"precision device quality control supervisor","0019b951-c699-4191-8208-9822882d150c"
"precision device inspector","0019b951-c699-4191-8208-9822882d150c"
"precision instrument QC inspector","0019b951-c699-4191-8208-9822882d150c"
"precision instrument quality control inspector","0019b951-c699-4191-8208-9822882d150c"
"precision device QC inspector","0019b951-c699-4191-8208-9822882d150c"
"precision device quality assurance supervisor","0019b951-c699-4191-8208-9822882d150c"
"precision device quality control inspector","0019b951-c699-4191-8208-9822882d150c"
"inspector of precision devices","0019b951-c699-4191-8208-9822882d150c"
"precision instrument inspector","0019b951-c699-4191-8208-9822882d150c"
"precision instrument supervisor","0019b951-c699-4191-8208-9822882d150c"
"air traffic safety electronics hardware specialist","0022f466-426c-41a4-ac96-a235c945cf97"
"air traffic safety software specialist","0022f466-426c-41a4-ac96-a235c945cf97"
"air traffic safety engineer","0022f466-426c-41a4-ac96-a235c945cf97"
"air traffic safety hardware specialist","0022f466-426c-41a4-ac96-a235c945cf97"
"air traffic safety technician","0022f466-426c-41a4-ac96-a235c945cf97"
"air traffic safety electronics software specialist","0022f466-426c-41a4-ac96-a235c945cf97"
"air traffic safety electronics engineer","0022f466-426c-41a4-ac96-a235c945cf97"
"air traffic safety electronics technician","0022f466-426c-41a4-ac96-a235c945cf97"
"hospitality revenues manager","002da35b-7808-43f3-83bf-63596b8b351f"
"yield manager","002da35b-7808-43f3-83bf-63596b8b351f"
"hospitality yields manager","002da35b-7808-43f3-83bf-63596b8b351f"
"hospitality revenue manager","002da35b-7808-43f3-83bf-63596b8b351f"
"revenue manager","002da35b-7808-43f3-83bf-63596b8b351f"
"medical laboratory research assistant","0044c991-c26f-4261-a213-4bd1c0564a4c"
"biomedical laboratory assistant","0044c991-c26f-4261-a213-4bd1c0564a4c"
"clinical research assistant","0044c991-c26f-4261-a213-4bd1c0564a4c"
"assistant in medical laboratory","0044c991-c26f-4261-a213-4bd1c0564a4c"
"biomedical laboratory research assistant","0044c991-c26f-4261-a213-4bd1c0564a4c"
"assistant clinical researcher","0044c991-c26f-4261-a213-4bd1c0564a4c"
"medical lab assistant","0044c991-c26f-4261-a213-4bd1c0564a4c"
"medical laboratory assistant","0044c991-c26f-4261-a213-4bd1c0564a4c"
"assistant in biomedical laboratory","0044c991-c26f-4261-a213-4bd1c0564a4c"
"road surface technician","00634fc4-802a-461b-8af0-499273756f99"
"materials technician","00634fc4-802a-461b-8af0-499273756f99"
"aggregates and bitumen laboratory technician","00634fc4-802a-461b-8af0-499273756f99"
"technical supervisor, asphalt production","00634fc4-802a-461b-8af0-499273756f99"
"site technician","00634fc4-802a-461b-8af0-499273756f99"
"bitumen production technician","00634fc4-802a-461b-8af0-499273756f99"
"asphalt laboratory technician","00634fc4-802a-461b-8af0-499273756f99"
"road surface laboratory technician","00634fc4-802a-461b-8af0-499273756f99"
"laboratory technician, asphalt","00634fc4-802a-461b-8af0-499273756f99"
"asphalt technician","00634fc4-802a-461b-8af0-499273756f99"
"bitumen technician","00634fc4-802a-461b-8af0-499273756f99"
"asphalt production technical supervisor","00634fc4-802a-461b-8af0-499273756f99"
"site technician, asphalt","00634fc4-802a-461b-8af0-499273756f99"
"aggregates and asphalt laboratory technician","00634fc4-802a-461b-8af0-499273756f99"
"asphalt production technician","00634fc4-802a-461b-8af0-499273756f99"
"primary school teaching aide","00674f21-2f8f-4a41-9896-133f7cbe2a6e"
"elementary school teaching assistant","00674f21-2f8f-4a41-9896-133f7cbe2a6e"
"teaching assistant in primary schools","00674f21-2f8f-4a41-9896-133f7cbe2a6e"
"primary education teaching assistant","00674f21-2f8f-4a41-9896-133f7cbe2a6e"
"primary school assistant","00674f21-2f8f-4a41-9896-133f7cbe2a6e"
"primary school paraprofessional","00674f21-2f8f-4a41-9896-133f7cbe2a6e"
"primary school instructional assistant","00674f21-2f8f-4a41-9896-133f7cbe2a6e"
"primary school TA","00674f21-2f8f-4a41-9896-133f7cbe2a6e"
"neuromusculoskeletal physiotherapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"osteopath","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"eurythmy therapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"respiratory therapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"remedial physiotherapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"physiotherapist manager","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"occupational therapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"neurological physiotherapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"occupational physiotherapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"bobath physiotherapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"neuromuscular physiotherapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"manipulative physiotherapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"physiotherapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"hydrotherapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"rehabilitation therapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"masseuse","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"health promotion worker","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"cardiovascular physiotherapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"respiratory physiotherapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"chiropractor","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"sports physiotherapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"chiropractic therapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"neurodevelopmental physiotherapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"physical therapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"health and well-being therapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"business physiotherapist","006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"acting school teacher","00747307-6341-4266-a061-25416f7c6a96"
"conservatory theatre instructor","00747307-6341-4266-a061-25416f7c6a96"
"professor of theatre","00747307-6341-4266-a061-25416f7c6a96"
"theatre instructor","00747307-6341-4266-a061-25416f7c6a96"
"performing arts theater instructor","00747307-6341-4266-a061-25416f7c6a96"
"acting school instructor","00747307-6341-4266-a061-25416f7c6a96"
"conservatory theatre lecturer","00747307-6341-4266-a061-25416f7c6a96"
"instructor in performing arts","00747307-6341-4266-a061-25416f7c6a96"
"theatre instructor in performing arts school","00747307-6341-4266-a061-25416f7c6a96"
"hydrogenation machine operative","0085f271-5999-4d42-b879-75c3b4269883"
"hydrogenation machine operator","0085f271-5999-4d42-b879-75c3b4269883"
"hydrogenator","0085f271-5999-4d42-b879-75c3b4269883"
"hydrogenation operator","0085f271-5999-4d42-b879-75c3b4269883"
"hydrogenation process operator","0085f271-5999-4d42-b879-75c3b4269883"
"pasta manufacturer","0090dd54-057a-4f65-bbe8-f74c4999e8e8"
"pasta production operator","0090dd54-057a-4f65-bbe8-f74c4999e8e8"
"pasta maker","0090dd54-057a-4f65-bbe8-f74c4999e8e8"
"smokers products shop manager","00913533-5237-4870-9003-d1cb806603c9"
"tobacconists shop manager","00913533-5237-4870-9003-d1cb806603c9"
"cigar and cigarette store manager","00913533-5237-4870-9003-d1cb806603c9"
"tobacco store manager","00913533-5237-4870-9003-d1cb806603c9"
"tobacco shop manager","00913533-5237-4870-9003-d1cb806603c9"
"cigarette shop manager","00913533-5237-4870-9003-d1cb806603c9"
"cigar shop manager","00913533-5237-4870-9003-d1cb806603c9"
"cigarette store manager","00913533-5237-4870-9003-d1cb806603c9"
"cigar and cigarette shop manager","00913533-5237-4870-9003-d1cb806603c9"
"purveyor of tobacco and tobacco products","00913533-5237-4870-9003-d1cb806603c9"
"tobacconist store manager","00913533-5237-4870-9003-d1cb806603c9"
